Date de la valeur (local),Montant total (TTC),Débit,Crédit,Solde,Devise,Montant total (TTC) (local),Devise (local),Montant total de la TVA,Montant total (HT),Nom de la contrepartie,IBAN de la contrepartie,Méthode de paiement,Nom de la carte,Initiateur,Adresse email de l'initiateur,Équipe,Justificatif,Référence,Note,Catégorie de trésorerie,Sous-catégorie de trésorerie
2026-01-05,-15000,-15000,0,85000,EUR,-15000,EUR,-3000,-12000,Cabaret Sauvage,FR7612345678901234567890123,Virement,,Maxime,maxime@technoparis.com,Production,Oui,INV-2026-001,Location de salle - Soirée Dyketopia #1,Logistique,Location Salle
2026-01-10,-8000,-8000,0,77000,EUR,-8000,EUR,0,-8000,Klangkuenstler Booking,DE891011121314151617181920,Virement,,Maxime,maxime@technoparis.com,Artistes,Oui,INV-KK-402,Performance DJ Headliner - Soirée Dyketopia #1,Artistique,DJ
2026-01-15,-3000,-3000,0,74000,EUR,-3000,EUR,-500,-2500,L-Acoustics Paris Rental,FR7698765432109876543210987,Virement,,Maxime,maxime@technoparis.com,Technique,Oui,INV-SR-112,Sono L-Acoustics + lights & VJ - Soirée Dyketopia #1,Technique,Technique
2026-01-18,12500,0,12500,86500,EUR,12500,EUR,1250,11250,Shotgun Ticketing,FR7654321098765432109876543,Virement,,Maxime,maxime@technoparis.com,Billetterie,Non,REV-SG-99,Ventes Billetterie - Soirée Dyketopia #1,Revenu,Billetterie
2026-01-19,4500,0,4500,91000,EUR,4500,EUR,900,3600,SumUp Bar Terminal,FR7611111122222233333344444,Virement,,Maxime,maxime@technoparis.com,Bar,Non,REV-SU-11,Ventes boissons bar récapitulatif - Soirée Dyketopia #1,Revenu,Bar
2026-01-20,-1500,-1500,0,89500,EUR,-1500,EUR,0,-1500,Local Paris DJ Crew,FR7622222233333344444455555,Virement,,Maxime,maxime@technoparis.com,Artistes,Oui,INV-LDJ-08,Premières parties et closing - Soirée Dyketopia #1,Artistique,Performance
2026-01-22,-4000,-4000,0,85500,EUR,-4000,EUR,-800,-3200,SPS Securite Privée,FR7633333344444455555566666,Virement,,Maxime,maxime@technoparis.com,Logistique,Oui,INV-SPS-90,12 agents de securité - Soirée Dyketopia #1,Logistique,Securité
2026-01-25,-2500,-2500,0,83000,EUR,-2500,EUR,-500,-2000,Meta Ads Business,FR7644444455555566666677777,Carte,Carte Bleue,Maxime,maxime@technoparis.com,Com,Oui,COM-FB-33,Campagnes de pub Facebook / Insta - Soirée Dyketopia #1,Marketing,Coprod
2026-02-02,-12000,-12000,0,71000,EUR,-12000,EUR,-2400,-9600,Nexus Club Pantin,FR7655555566666677777788888,Virement,,Maxime,maxime@technoparis.com,Production,Oui,INV-NEX-442,Location salle - Soirée Berlin Ritual #1,Logistique,Location Salle
2026-02-05,-14000,-14000,0,57000,EUR,-14000,EUR,0,-14000,Charlotte de Witte Agency,,Virement,,Maxime,maxime@technoparis.com,Artistes,Oui,INV-CDW-103,Booking Charlotte - Soirée Berlin Ritual #1,Artistique,DJ
